,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
87,Big Bottom,bttm,Come Closer,cmcl,Footsteps,ftst,I Am the Walrus,walr,Liberty Echo,LIBE,Norwegian Wood,wood,Rocker,ROCK,Sweet Sunglasses,ssgl,Uptight (Everything's Alright),upti,,
88,Big Heart,hart,Come To Mama,mama,Forks,FORK,I Can't Go for That (No Can Do),nodo,Licking Stick,lick,Not Fade Away,fade,Rocker Part 2,ROC2,Sweetness,SWTN,Upward,UPWD,,
89,Big Poppa,bpop,Come Together,coto,Forty-Six & 2,46n2,I Don't Need No Steam Heat,heat,Life During Exodus,exod,Nothing Too Fancy,n2f,Roctopus,ROCT,Synchronicity II,syn2,Utopian Fir,FIR,,
90,Billie Jean,jean,Comfortably Numb,numb,Frankie Zombie,zomb,I Got Love,gluv,Lift & Separate,LIFT,November Walk,novw,Rollin' Stone,ston,Syncopated Strangers,SYNC,Vibe,VIBE,,
91,Birthday,bday,Coming In From the Cold,cold,Franklin's Tower,fran,I Got You (I Feel Good),gotu,Limelight,lime,Nuthin' but a 'G' Thang,gthg,Rondo Alla Turca,alla,TNT/Paranoid/Dirty Deeds Done Dirt Cheap,deed,Virtual Insanity,virt,,
92,Bitch,bich,Comma Later,CML8,Freedom of '76,fr76,I Heard It Through the Grapevine,grpv,Linus and Lucy,lucy,Ocean Billy,BILY,Room to Breathe,RMBR,Take It to Church,CHUR,Visions,VISI,,
93,Bittersweet Haj,bhaj,"Computer ""G""",comg,Freedom! '90,fr90,I Keep Forgettin',frgt,Liquid,LIQU,October Rain,OCTR,Root Beer Rag,rbr,Take Me Away,away,Voices Inside My Head,voic,,
94,Bittersweet Symphony,symf,Conduit,COND,Friend of the Devil,fotd,I Ran,iran,Lisztomania,lszt,Oesque,OESQ,Rosanna,rosa,Take Me Out to the Ballgame,otbg,Voodoo Child,vdoc,,
95,Black Hole Sun,hole,Constellations,CNST,From the Beginning,begn,I Still Haven't Found What I'm Looking For,hflf,Little Gift,GIFT,Oh Shenandoah,shen,Roses,rose,Take Me To the River,rive,Voodoo Lady,vdol,,
96,Black Messiah,blkm,Controversy,cntr,Front Porch,PRCH,I Wanna Be Your Lover,wbyl,Little Red Corvette,crvt,Oh What a World,owaw,Roulette,ROUL,Takin' It to the Streets,taki,Voulez-Vous,vlzv,,
97,Black Sabbath,sbth,Cowboys from Hell,cbfh,Front Port,PORT,I Want You (She's So Heavy),iwyh,Little Wing,wing,Once In a Lifetime,lftm,Roundabout,rndb,Talking in Your Sleep,slee,Voyager,voya,,
98,Black Water,bwtr,Crazy Fingers,cfig,Fuck You,fuck,I Want You Back,iwyb,Live and Let Die,lald,One,one,Roxanne,roxa,Tango Mike,MIKE,Wabash,waba,,
99,Bloody Well Right,blod,Crossroads,xrds,Full Frontal,FULL,I Want a New Drug,iwnd,Lively Up Yourself,lupy,"One More Wicked, Cruel Summer",crue,Royally Feel Like Driftin' Away,roya,Techno Jam,TECH,Waist Down,DOWN,,
