,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"""Brendan & Jake switch rigs""",BJSR,Blue Echo,ECHO,Crucial Taunt,TAUN,Funk Improv,FUIM,Ignition,gntn,Louisiana 1927,lsn1,Partyin' Peeps,peep,Scaffolding Melee,MELE,The Empire State,EMST,Weed Rap,RAP
1,"""Mrs Robinson's Strut""",STRU,Bob,BOB,Cruel Summer,crsu,Funk Jam,FUNJ,Immigrant Song,song,Lucid State,STAT,Passing,PASS,Scenes from an Italian Restaurant,scfi,The End,end,Weekapaug Groove,wegr
2,#19,N19,Bob's Cloud,clou,Cummins Lies,LIES,Funky Bitch,fubi,In Bloom,bloo,"Luckenbach, Texas (Back to the Basics of Love)",ltbb,Pathetique,ptht,Se A Cabo,cabo,The Final Teen Spirit,fits,Weird Fishes/Arpeggi,wefi
3,#5,N5,Bombtrack,bmbt,Cut Off,OFF,Funky Stuff,stuf,In The Black,BLAC,M.C. Escher,mces,Patience,ptnc,Search 4,SE4,The Floor,FLOO,"Well, You Needn't",weyn
4,(Don't Fear) The Reaper,dofr,Bonafide Lovin',lovi,Cut the Cable,CABL,G-Song,GSON,In The Kitchen,INKI,Machine Gun,gun,Pay the Snucka,PASN,Seasons,SEAS,The Fussy Dutchman,FUDU,Wellwishers,WELL
5,(Night Time Is) The Right TIme,ntir,Booth Love,LOVE,Daffodils,dffd,Garbage Man,gama,In The Puppet Kitchen,INPK,Mad Love,MALO,Pearl Necklace,pene,Second Song,seso,The Fuzz,FUZZ,Werewolves of London,weol
6,(Sittin' On) The Dock of the Bay,sodo,Born Under a Bad Sign,bubs,Damn Right I've Got the Blues,drig,Gents,GENT,In Violation of Yes,IVOY,Made to Measure,MAME,Peg,peg,Seek and Destroy,sead,The Girl Is Mine,mine,What Is and What Should Never Be,wiaw
7,...And Justice for All,ajfa,Brain Damage,brda,Dance Hall Days,days,Gesture Under a Mitten,GEUM,In a Silent Way,insw,Mail Package,MAPA,Peter Gunn / Every Breath You Take,pg/e,Seven Bridges Road,road,The Good Times Are Killing Me,gtak,What We Could Get,WWCG
8,...And We Became Sunshine,awbs,Brass In Pocket,brip,Dancing Days,dada,Get Down,down,In the Flesh?,infl,Make It Right,RIGH,Phil's 7 Nation Money Farm,p7nm,Sex Farm,sefa,The Great Gig in the Sky,ggis,What You Need,whyn
9,1000 Places to See Before You Die,1PSB,Breaker,BREA,Dark Brush,BRUS,Get In The Van,VAN,In the Hall of the Mountain King,ihom,Make Me,mame,Phil's Farm,FARM,Señor Mouse,mous,The Grobe,grob,What's Going On,whgo
