,date,title,support,notes,tags,reviews,One Set,Set 1,Set 2,Set 3,Encore,2nd Encore,3rd Encore,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Overtime
0,2013-01-25,"The Ritz, Raleigh, NC, USA",Papadosio,"['Xxplosive (Dr. Dre) and Jailbreak (Thin Lizzy) were teased during the band introductions before Kula', 'last No More Tears 08.11.2010 (272 shows)']","{'1': 'with Jessica (The Allman Brothers Band) teases', '2': 'with Children of the Damned (Iron Maiden) verse'}",,,"Auf Wiedersehen >  Plunger,  Made to Measure >  Andy's Last Beer,  The Pequod >  White Man's Moccasins,  Kabump,  Wellwishers,  Crucial Taunt,  Partyin' Peeps","Words,  Booth Love,  Money For Nothing,  Front Porch[1],  Kula >  The Linear[2] >  Front Porch",,"No More Tears,  1348",,,,,,,
0,2013-01-26,"The National, Richmond, VA, USA",The Mantras,None,"{'1': 'with Chitlins con Carne (Kenny Burrell) jam', '2': 'with DJ Williams replacing Jake on guitar; with Xxplosive (Dr. Dre) tease'}",1 review(s),,"Prowler >  The Floor,  Mail Package,  Tribute to the Spinal Shaft[1] -> Cheap Sunglasses >  Day Nurse,  No Comment >  Miss Tinkle's Overture","Jekyll & Hyde >  Puppet String >  Hajimemashite >  Puppet String,  13 Days[2],  Wappy Sprayberry >  Bridgeless",,"The Fussy Dutchman,  Life During Exodus",,,,,,,
0,2013-01-30,"Tennessee Theatre, Knoxville, TN, USA",,"[""Puppet String featured Ryan's nephew, Baylor, rocking out on a toy guitar"", 'last Meeting in the Aisle 07.04.2010 (292 shows)']",{},,,"End of the Road >  Puppet String,  Time,  Domino Theory,  Comma Later,  Hajimemashite,  Professor Wormbog,  Sociable Jimmy","Depth Charge >  Eat,  Miami Virtue >  Mullet (Over),  2x2,  Der Bluten Kat >  Meeting in the Aisle >  Der Bluten Kat >  Booth Love >  Der Bluten Kat",,The Song Remains the Same,,,,,,,
0,2013-01-31,"Buster's Billiards & Backroom, Lexington, KY, USA",,"[""The Woody Woodpecker theme (George Tibbles and Ramey Idriss) was teased after Mulche's Odyssey.""]","{'1': 'with Voodoo Child (Jimi Hendrix) teases', '2': 'with Stairway to Heaven (Led Zeppelin) tease', '3': 'with Honky Tonk Woman (Rolling Stones) intro', '4': 'with Tennessee (Arrested Development) lyrics from Kris'}",,,"Gurgle >  Room to Breathe,  Nothing Too Fancy >  Alex's House >  Ringo[1],  Morning Song,  In The Kitchen[2] >  Nothing Too Fancy","Mulche's Odyssey,  Higgins >  Slacker,  The Crooked One[3] -> The Haunt[4] -> Walletsworth,  Phil's Farm >  Eminence Front >  Phil's Farm",,Deeper,,,,,,,
0,2013-02-01,"The Orbit Room, Grand Rapids, MI, USA",Greensky Bluegrass,"[""last Good Ol' Boys 09.29.2010 (266 shows)""]","{'1': 'with Too Much Time on My Hands (Styx) teases', '2': ""with Dig-A-Da (Ali Baba's Tahini) teases""}",1 review(s),,"Flamethrower >  Wappy Sprayberry >  2nd Self,  Anchor Drops,  FF[1] >  Forks,  All Things Ninja,  Push the Pig","Tribute to the Spinal Shaft >  Power of Soul,  Lift & Separate >  August[2],  The Linear >  1348",,"Plunger >  Good Ol' Boys >  Plunger,  Wizard Burial Ground",,,,,,,
0,2013-02-02,"The Fillmore, Detroit, MI, USA",,None,"{'1': 'with Drug Ballad (Eminem) jam', '2': 'with Another One Bites the Dust (Queen) teases', '3': 'without Have a Cigar (Pink Floyd) section; with Stairway to Heaven (Led Zeppelin) tease', '4': 'with Third Stone From the Sun (Jimi Hendrix) teases'}",1 review(s),,"There's No Crying In Mexico >  All In Time >  Ocean Billy,  Partyin' Peeps,  Intentions Clear[1] >  Out Of Order,  Syncopated Strangers,  Resolution[2] >  All In Time","JaJunk >  Preamble >  Mantis Ghetts >  Making Flippy Floppy >  Conduit,  The Triple Wide >  Frankie Zombie[3] >  The Triple Wide,  Divisions[4]",,Mother >  JaJunk,,,,,,,
0,2013-02-06,"The Venue, Fargo, ND, USA",,['You Really Got Me (Van Halen) was teased before Room To Breathe.'],"{'1': 'with LaGrange (ZZ Top) jam', '2': '""Jimmy Stewart"" with lyrics', '3': 'with Regulate (Warren G) intro and with ""Zsa Zsa Gabor, Fifi"" lyrics'}",1 review(s),,"Tango Mike >  Cemetery Walk,  Got Your Milk (Right Here) >  Sociable Jimmy,  Women Wine and Song[1] >  Miami Virtue >  Cemetery Walk II","Thunderstruck,  Domino Theory,  The Bottom Half[2],  Booth Love >  The Fussy Dutchman,  Much Obliged[3] >  Go to Hell",,"Room to Breathe,  Andy's Last Beer",,,,,,,
0,2013-02-07,"First Avenue, Minneapolis, MN, USA",,['This show was in Mainroom.'],"{'1': 'with Dance Hall Days (Wang Chung) jam', '2': '""Jimmy Stewart"" with lyrics'}",1 review(s),,"Day Nurse,  Divisions[1] >  Uncle Wally,  Great American >  Q*Bert >  Great American >  Nemo[2],  Through the Cracks >  Divisions","Hangover,  Miss Tinkle's Overture,  All In Time >  Padgett's Profile,  Resolution >  All In Time",,Fame >  The Triple Wide,,,,,,,
0,2013-02-08,"The Pageant, St. Louis, MO, USA",Mike Dillon Band,None,"{'1': 'with Search 4 tease', '2': 'with Roundabout (Yes) tease before Plunger', '3': 'unfinished'}",,,"Drink My Drank >  Plunger >  2x2,  Comma Later >  Preamble >  Mantis >  The Linear[1],  Last Man Swerving -> No Comment[2] >  Plunger","Puppet String[3] >  40's Theme,  Wife Soup,  Bridgeless,  Live and Let Die,  Bright Lights, Big City,  Deeper >  Mantis",,Pay the Snucka,,,,,,,
0,2013-02-09,"The Pageant, St. Louis, MO, USA",Mike Dillon Band,None,"{'1': 'with Soul Food II jam', '2': ""with Mike Dillon on vibraphone; with Entrance of the Gladiators (Julius Fučík) and (Don't Fear) The Reaper (Blue Öyster Cult) teases"", '3': 'with Puppet String tease', '4': 'completes the 02.08.2013 version'}",,,"Leave Me Las Vegas >  Get In The Van,  The Floor,  In The Kitchen[1] >  #5 >  In The Kitchen,  Example 1,  Muscle Shoals Nitty Gritty[2],  Layla","Der Bluten Kat >  Peter Gunn / Every Breath You Take >  Der Bluten Kat,  White Pickle >  Slacker,  Wappy Sprayberry >  Tribute to the Spinal Shaft[3] >  Puppet String[4]",,Phil's Farm >  Glory >  Phil's Farm,,,,,,,
0,2013-02-10,"The Bluebird Nightclub, Bloomington, IN, USA",,None,"{'1': ""with Rapper's Delight (Sugarhill Gang), Xxplosive (Dr. Dre), G'z and Hustlas (Snoop Dogg), and Regulate (Warren G) teases"", '2': '""Jimmy Stewart"" with lyrics', '3': ""with It's About That Time (Miles Davis) tease""}",,,"Cummins Lies >  Hourglass,  Robot World,  Bad Poker,  Words,  Conduit,  Nothing Too Fancy >  Mulche's Odyssey","The National Anthem >  1348 >  Higgins >  1348,  Come As Your Kids >  Blue Echo >  Gulf Stream,  Ringo[1]",,August[2] >  Nothing Too Fancy[3],,,,,,,
0,2013-02-14,"The Metropolitan Theatre, Morgantown, WV, USA",,None,"{'1': 'with All My Love (Led Zeppelin) teases', '2': 'with Home (The New Deal) jam'}",2 review(s),,"Catshot >  Miss Tinkle's Overture,  Walletsworth,  Domino Theory,  Intentions Clear >  Push the Pig[1],  The Floor","The Fussy Dutchman,  Red Tape >  In The Kitchen,  Thin Air,  I Want You (She's So Heavy),  Kabump[2]",,Girlfriend is Better >  Booth Love,,,,,,,
0,2013-02-15,"Lifestyle Communities Pavilion, Columbus, OH, USA",Mike Dillon Band,None,{'1': 'with Mike Dillon on vibraphone'},,,"Auf Wiedersehen >  Rocker Part 2,  Turn & Run,  Utopian Fir >  2x2,  Words","Hurt Bird Bath,  Syncopated Strangers,  It's About That Time[1],  Bright Lights, Big City >  Den -> Bright Lights, Big City,  Bridgeless >  Young Lust >  Kula >  Bridgeless",,Baba O'Riley,,,,,,,
0,2013-02-16,"The Orpheum Theatre, Madison, WI, USA",Mike Dillon Band,"['last Headphones & Snowcones 12.31.2009 (356 shows)', 'last How Many More Times 07.13.2007 (641 shows)']","{'1': 'with Mike Dillon on percussion along with Jake', '2': 'with Mike Dillon on marimba and Carly Meyers on trombone', '3': 'with White Summer (Led Zeppelin) teases', '4': 'with The Fuzz tease', '5': 'with Lose Yourself (Eminem) jam', '6': 'with Regulate (Warren G) intro'}",2 review(s),,"Nipple Trix >  2nd Self,  Puppet String >  Preamble >  Mantis >  The Triple Wide >  Hajimemashite,  All Night Long[1],  Headphones & Snowcones[2],  Resolution[3] >  Puppet String","JaJunk >  Slacker[4],  The Linear[5] >  JaJunk,  Conduit[6] >  Mantis,  40's Theme,  Hollywood Nights",,Divisions >  How Many More Times >  Divisions,,,,,,,
0,2013-02-17,"The Canopy Club, Urbana, IL, USA",,"['last Trenchtown Rock 07.07.2010 (303 shows)', 'last Take It to Church 02.28.2007 (698 shows)']","{'1': 'with No Comment tease', '2': 'just one verse', '3': 'one verse', '4': 'with Root Down (Beastie Boys) quotes'}",,,"Trenchtown Rock,  All In Time >  Day Nurse,  August[1],  Ringo,  Hey Nineteen >  All In Time","Sociable Jimmy,  13 Days,  Forty-Six & 2,  Hangover >  The Fuzz[2] >  Take It to Church >  Hangover,  Night Nurse >  Mulche's Odyssey,  Kimble,  Wappy Sprayberry >  In the Hall of the Mountain King",,Big Bottom[3] >  1348[4],,,,,,,
0,2013-03-06,"Belly Up Aspen, Aspen, CO, USA",,None,{'1': 'with Hangover jam'},,,"There's No Crying In Mexico -> Bright Lights, Big City,  Phil's Farm >  Wellwishers,  #5 >  Alex's House,  Comma Later,  A Go Go,  Resolution >  Phil's Farm","Miami Virtue[1] >  Booth Love,  Dump City,  Much Obliged >  2x2,  Can't You Hear Me Knocking",,Glory >  The Floor,,,,,,,
0,2013-03-07,"Belly Up Aspen, Aspen, CO, USA",,None,{},,,"Drink My Drank >  Push the Pig,  Domino Theory,  Bridgeless >  Day Nurse,  Loose Ends >  Out Of Order,  Go to Hell","Tribute to the Spinal Shaft >  I've Got a Feeling,  In The Kitchen,  Higgins,  Mail Package,  Runnin' with the Devil >  Bridgeless",,"Hangover,  The Triple Wide >  Hangover",,,,,,,
0,2013-03-08,"The Depot, Salt Lake City, UT, USA",The Bright Light Social Hour,None,"{'1': 'with Mail Package teases', '2': 'with River People (Weather Report) tease'}",,,"Flamethrower >  40's Theme,  Wappy Sprayberry >  Sociable Jimmy,  Morning Song,  Example 1[1],  Reelin' in the Years,  Miss Tinkle's Overture","Hurt Bird Bath >  Shine On You Crazy Diamond >  Hurt Bird Bath,  The Linear >  Conduit[2],  The Fussy Dutchman,  Ringo",,JaJunk,,,,,,,
0,2013-03-09,"The Wilma Theatre, Missoula, MT, USA",The Bright Light Social Hour,None,"{'1': '""Jimmy Stewart"" with lyrics', '2': 'with Dump City teases', '3': 'debut, The Notorious B.I.G.; instrumental, with Brendan on keys'}",,,"1348 >  Wife Soup,  Room to Breathe,  Kabump -> Through the Cracks,  Puppet String[1] >  Intentions Clear >  White Pickle >  Puppet String","Mulche's Odyssey,  Slacker[2] >  Sweetness >  Slacker,  Jessica,  FF >  Big Poppa[3],  All In Time",,Fool in the Rain >  1348,,,,,,,
0,2013-03-10,"Emerson Center for Arts & Culture, Bozeman, MT, USA",The Bright Light Social Hour,None,{'1': 'with power outage'},,,"Cummins Lies >  2nd Self[1],  Preamble >  Mantis >  Walletsworth,  Turn & Dub,  Prowler >  Mantis,  Deeper >  Plunger >  Can't Find My Way Home >  Plunger","Nothing Too Fancy >  Ocean Billy,  Syncopated Strangers,  Girlfriend is Better >  Thin Air,  Women Wine and Song >  Nothing Too Fancy",,Phil's Farm >  Hajimemashite >  Phil's Farm,,,,,,,
0,2013-03-14,"Neptune, Seattle, WA, USA",The Bright Light Social Hour,['last Rainbow Country 10.24.2008 (505 shows)'],{},,,"Catshot >  The Linear >  Domino Theory,  Liberty Echo >  Water,  Booth Love >  Professor Wormbog,  August","The Bottom Half >  Get In The Van,  Cherub Rock,  Utopian Fir >  Rainbow Country >  Andy's Last Beer,  Cemetery Walk II",,Eat >  Dear Prudence,,,,,,,
0,2013-03-15,"McDonald Theatre, Eugene, OR, USA",The Bright Light Social Hour,None,"{'1': 'with One Nation Under a Groove (Funkadelic) teases', '2': 'with Stairway to Heaven (Led Zeppelin) tease', '3': 'with Norwegian Wood (The Beatles) jam', '4': 'debut, Gorillaz; one verse only'}",,,"Gurgle >  White Man's Moccasins,  Miami Virtue >  Hangover[1],  Rocker Part 2,  Ringo -> Cheap Sunglasses >  Ringo,  Believe the Lie","Wappy Sprayberry >  Bridgeless,  Comma Later,  Preamble >  Mantis Ghetts[2],  Der Bluten Kat >  I Ran >  Der Bluten Kat,  The Floor",,Resolution[3] -> Clint Eastwood[4] >  Glory,,,,,,,
0,2013-03-16,"The Fox Theater, Oakland, CA, USA",The Bright Light Social Hour,None,"{'1': ""with Rapper's Delight (The Sugarhill Gang) teases"", '2': 'with Brendan and Jake on acoustics', '3': 'one verse; with War Pigs (Black Sabbath) jam'}",,,"Depth Charge >  Plunger >  2x2,  Padgett's Profile,  Conduit >  Plunger,  1348[1],  Nemo[2] >  Hey, Hey What Can I Do[2] >  Nemo[2],  Pay the Snucka","In The Kitchen,  Forty-Six & 2,  The Triple Wide,  Puppet String >  Dump City,  Hajimemashite >  Puppet String,  Live and Let Die",,All In Time >  How Many More Times[3] >  All In Time,,,,,,,
0,2013-03-17,"MontBleu Resort, Stateline, NV, USA",The Bright Light Social Hour,None,{},,,"JaJunk >  Hourglass,  Example 1,  Hurt Bird Bath,  Much Obliged >  No Comment >  Kula,  Got Your Milk (Right Here) >  JaJunk","Miss Tinkle's Overture,  Africa,  Irish Jig,  Syncopated Strangers,  Partyin' Peeps,  ""Jimmy Stewart"" >  Push the Pig >  Eminence Front,  40's Theme",,"Bright Lights, Big City",,,,,,,
0,2013-03-21,"House of Blues, Las Vegas, NV, USA",The Bright Light Social Hour,None,{'1': 'dub version; with City of Tiny Lites (Frank Zappa) teases'},,,"Leave Me Las Vegas >  Turn & Run,  Walletsworth,  Intentions Clear >  Roulette,  Breathe[1],  The Fussy Dutchman,  The Floor","Ocean Billy,  Women Wine and Song >  Nothing Too Fancy >  Booth Love,  Day Nurse,  Dirty Love,  Slacker",,Dr. Feelgood >  Nothing Too Fancy,,,,,,,
0,2013-03-22,"House of Blues - Sunset Strip, West Hollywood, CA, USA",The Bright Light Social Hour,None,{'1': 'with One Nation Under a Groove (Funkadelic) tease'},,,"Flamethrower >  Higgins,  Puppet String >  Uncommon,  Loose Ends,  Mail Package,  Morning Song,  Prowler >  Puppet String","40's Theme[1],  Miami Virtue >  The Linear,  White Pickle >  August,  Frankie Zombie,  Hajimemashite,  Wizard Burial Ground",,Soul Food I >  Waiting Room,,,,,,,
0,2013-03-23,"House of Blues - Sunset Strip, West Hollywood, CA, USA",The Bright Light Social Hour,None,"{'1': 'with Thriller (Michael Jackson) teases', '2': 'with Jake on keys', '3': 'debut, Nate Dogg; with Clayton Halsey on vocals and Brendan on keys', '4': 'with Under the Influence (Eminem) tease from Ryan', '5': 'Fletch Theme (Harold Faltermeyer) and Voices Inside My Head (The Police) teases', '6': 'with Garbage Man (Ike Turner and the Family Vibes) tease', '7': 'with Rain Song (Led Zeppelin) ending'}",1 review(s),,"There's No Crying In Mexico >  Bridgeless >  Anchor Drops,  Wappy Sprayberry[1] >  Bridgeless,  Wife Soup,  Der Bluten Kat[2] >  I Got Love[3] >  Der Bluten Kat","Mulche's Odyssey[4],  Divisions >  Plunger[5] >  Hangover[6],  The Triple Wide >  Divisions",,"Andy's Last Beer,  The Song Remains the Same[7]",,,,,,,
0,2013-03-24,"""McDowell Mountain Music Festival"" Margaret T. Hance Park, Phoenix, AZ, USA",,['Main Stage'],"{'1': 'with Mike Bendy replacing Ryan on bass', '2': ""with Wanna Be Startin' Somethin' (Michael Jackson) jam"", '3': 'with Stanley Jordan on guitar', '4': 'with Stanley Jordan on guitar; with Eleanor Rigby (The Beatles) jam by Stanley'}",,"Nipple Trix >  2nd Self,  Domino Theory,  JaJunk >  Conduit,  In The Kitchen[1],  Miss Tinkle's Overture,  The Floor,  Ringo[2] >  JaJunk",,,,"Glory[3],  Making Flippy Floppy[4]",,,,,,,
0,2013-04-10,"Music Farm, Charleston, SC, USA",,['The band walked out to the Jaws theme (John Williams)'],{'1': 'with Rhiannon (Fleetwood Mac) teases'},,,"All In Time,  Preamble >  Mantis >  Push the Pig >  Out Of Order,  August,  In Bloom >  All In Time","Depth Charge >  Phil's Farm,  Wappy Sprayberry >  Mantis,  Life During Exodus[1],  Andy's Last Beer,  The Floor",,Hangover >  Let's Dance >  Hangover,,,,,,,
0,2013-04-11,"Freebird Live, Jacksonville Beach, FL, USA",Break Science,None,"{'1': 'with Xxplosive (Dr. Dre) teases', '2': 'with Family Feud theme teases', '3': ""with 40's Theme teases""}",,,"Plunger >  Much Obliged >  Plunger,  Made to Measure[1] >  Higgins,  Morning Song,  Turn & Dub >  2nd Self","Hurt Bird Bath[2],  Booth Love >  The Linear >  Professor Wormbog,  When the World Is Running Down You Make the Best of What's Still Around[3] >  40's Theme",,Africa,,,,,,,
0,2013-04-12,"The Plaza 'Live' Theatre, Orlando, FL, USA",Break Science,None,"{'1': 'Ryan solo', '2': 'with Soul Food II jam'}",1 review(s),,"Drink My Drank >  Tribute to the Spinal Shaft >  Conduit,  Cemetery Walk >  Slacker,  Miss Tinkle's Overture,  Comfortably Numb,  Cemetery Walk II","Der Bluten Kat >  Miami Virtue >  Der Bluten Kat,  In The Kitchen >  E.T.I. >  In The Kitchen,  America the Beautiful[1] >  2x2 >  1348",,Ringo[2],,,,,,,
0,2013-04-13,"Jannus Live, St. Petersburg, FL, USA",Break Science,None,"{'1': 'with Adam Deitch on drums, Kris on percussion', '2': 'incomplete; with Rhiannon (Fleetwood Mac) teases'}",,,"Gurgle >  Resolution >  White Man's Moccasins,  Deeper >  JaJunk >  Wife Soup,  White Pickle[1] >  Pay the Snucka >  JaJunk","Bright Lights, Big City -> Den >  Bright Lights, Big City,  Puppet String >  The Triple Wide >  Dreams[2] >  The Triple Wide >  Hajimemashite >  Puppet String,  Come Closer,  Partyin' Peeps,  Go to Hell >  Dear Lord >  Go to Hell",,Women Wine and Song >  La Grange >  Fool in the Rain >  Dee >  Pay the Snucka,,,,,,,
0,2013-04-15,"Georgia Theatre, Athens, GA, USA",,None,"{'1': 'with Dance Hall Days (Wang Chung) jam', '2': ""unfinished; with Ain't Talkin' 'bout Love (Van Halen) tease""}",,,"Tango Mike >  Domino Theory,  #5,  Bridgeless >  Example 1,  Intentions Clear[1] >  Baba O'Riley,  The Fussy Dutchman","Nothing Too Fancy[2] >  Space Funk Booty >  Ocean Billy,  Girlfriend is Better >  Mulche's Odyssey,  Glory >  Bridgeless",,Divisions >  I'm On Fire >  Divisions,,,,,,,
0,2013-04-17,"George's Majestic Lounge, Fayetteville, AR, USA",Space Camp,None,{},,,"Flamethrower >  Sociable Jimmy,  Red Tape >  Get In The Van,  Power of Soul,  Comma Later,  Prowler >  Much Obliged >  Rocker Part 2","The Bottom Half,  Mail Package,  Wappy Sprayberry >  Andy's Last Beer,  Dump City,  Bloody Well Right,  August",,Wizard Burial Ground,,,,,,,
0,2013-04-18,"George's Majestic Lounge, Fayetteville, AR, USA",Montu,None,"{'1': 'with The Jetsons theme song (Hoyt Curtin) tease', '2': ""with Tiny Cities Made of Ashes (Modest Mouse) and (Don't Fear) The Reaper (Blue Öyster Cult) teases"", '3': 'with The Chicken (Jaco Pastorious) jam'}",,,"Professor Wormbog,  Roulette,  Room to Breathe,  Plunger,  Smell the Mitten[1],  Anchor Drops,  Ringo","The Triple Wide[2],  No Comment >  Walletsworth,  We're Going to War >  Nemo[3],  In the Flesh? >  Another Brick in the Wall -> Miss Tinkle's Overture",,The Floor,,,,,,,
0,2013-04-19,"House of Blues, Dallas, TX, USA",Moon Taxi,None,"{'1': 'debut, The Romantics; one verse and chorus', '2': '""Jimmy Stewart"" with lyrics'}",2 review(s),,"Nipple Trix >  Resolution >  Hourglass,  1348,  Morning Song,  Rosanna >  Conduit,  Mulche's Odyssey","All In Time >  Day Nurse >  All In Time,  Higgins -> Talking in Your Sleep[1] -> Higgins[2],  Slacker,  Can't You Hear Me Knocking",,Partyin' Peeps >  Hajimemashite,,,,,,,
0,2013-04-20,"Stubb's BBQ, Austin, TX, USA",Moon Taxi,None,"{'1': 'debut, Daft Punk; incomplete', '2': ""with Stayin' Alive (Bee Gees) teases""}",3 review(s),,"Utopian Fir >  In The Kitchen,  Hurt Bird Bath,  Loose Ends >  Deeper >  Utopian Fir >  Jessica,  Puppet String","JaJunk -> Get Lucky[1] >  Push the Pig,  Liberty Echo >  Life During Exodus,  Booth Love[2] >  The Linear >  JaJunk",,FF >  Divisions,,,,,,,
0,2013-04-26,"""UMBowl IV"" Park West, Chicago, IL, USA",,"['first quarter was Raw Stewage, comprised of attendees\' votes for past ""Jimmy Stewarts"": FDR (04.23.2003 FDR), Final Word (10.19.2005 Der Bluten Kat), Amble On (06.09.2006 Utopian Fir), Rise to the Top (10.12.2005 Making Flippy Floppy), Cut the Cable (11.05.2011 Ringo), Constellations (09.14.2012 Puppet String), Gravity\'s Reel (09.14.2012 All In Time), and Fool\'s Gold (11.18.2008 Water)', '', 'second quarter was comprised of attendees\' votes, ""All Request""', '', 'third quarter was a Stew Art event: Baby Making Music [with Jake lyrics, a la Michael McDonald] > Jazz/Metal Fusion > Sinister Evil Untz > Simply Ambient Bliss > Moogatize Us [with Jake on keys] > Gin and Juice [Snoop Dogg] > Beach Boogie > Bass n Drum + Joel > Warrior Marching Into Battle > Hillbilly Hoedown > Tribal Drum Jam [with Brendan, Jake, and Joel on percussion] > 70s Disco [with lyrics]', '', 'fourth quarter was in ""choose your own adventure"" style, with attendees voting for the next ""adventure"" live: Puppet String, 1348, or Wappy Sprayberry; Higgins, Eat, or Lenny; 40\'s Theme, Miss Tinkle\'s Overture, or Hangover; Regulate, Miss Gradenko, or Rastaman Chant; Kimble, Dear Lord, or Smell the Mitten; Roulette, Bad Poker, or Get Lucky; end of 1348, end of Puppet String, or end of Miss Tinkle\'s Overture', '', 'the between-quarters videos had a Forrest Gump - gUMph - theme, with ', '', 'the closing scene featuring Joel running across the country and into the venue', '', 'last FDR 04.23.2003 (1,256 shows)', 'last Cantina Band 02.20.2002 (1,446 shows)', 'last Mean Mr. Mustard 09.29.2010 (299 shows)', 'last Polythene Pam 09.29.2010 (299 shows)', 'last She Came In Through The Bathroom Window 09.29.2010 (299 shows)', 'last Golden Slumbers 09.29.2010 (299 shows)', 'last Carry That Weight 09.29.2010 (299 shows)']","{'1': 'debut, original; with vocals', '2': 'debut, original', '3': 'debut, Metallica', '4': 'with Imperial March (John Williams) teases', '5': 'debut, Pearl Jam', '6': 'Brendan and Jake on acoustics', '7': 'Brendan on mandolin and Jake on acoustic', '8': 'unfinished', '9': 'with Xxplosive (Dr. Dre) tease; unfinished', '10': 'with In the Kitchen teases', '11': 'ending', '12': 'debut, Jackson Browne'}",2 review(s),,,,,,,,"FDR >  Final Word[1],  Amble On[2] >  Rise To the Top[1] >  Cut the Cable >  Constellations[2] >  Gravity's Real[1] >  Fool's Gold[2]","Orion[3],  Cantina Band[4],  No Diablo[2],  Porch[5],  Bullhead City[6],  Hey, Hey What Can I Do[7],  2x2[6],  Mean Mr. Mustard >  Polythene Pam >  She Came In Through The Bathroom Window >  Golden Slumbers >  Carry That Weight",Stew Art Event,Wappy Sprayberry[8] >  Higgins[8] >  Miss Tinkle's Overture[9] >  Regulate[10] >  Smell the Mitten[8] >  Get Lucky >  Puppet String[11],Running on Empty[12]
0,2013-04-27,"Lincoln Hall, Chicago, IL, USA",,"['private show put on by fans, billed as ""Bill Graham for a Day""', 'the band came onto the stage for the first set one by one, starting with Andy', 'Web Tangle > Larceny were selections from the UMBowl ""Raw Stewage"" voting: In the Kitchen 04.07.2006 with lyrics > Dump City 02.07.2008', 'the band came out for the second set singing ""One More Set"" to the tune of One More Night (Phil Collins)', 'Front Port teased before Tribute to the Spinal Shaft', 'last Sludge & Death 04.12.2007 (703 shows)', 'last Debra 12.09.2000 (1,609 shows)', 'last Soul Food II 02.21.2006 (853 shows)', ""last That's What Love Will Make You Do 09.08.2001 (1,506 shows)""]","{'1': 'with The Spirit of Radio (Rush) jam and Turn & Run fake-out', '2': 'unfinished', '3': 'debut, original', '4': 'debut, Otis Redding; Brendan on mandolin', '5': 'Brendan on mandolin', '6': 'with Divisions fake-out'}",,,"Intro[1] >  The Crooked One -> The Haunt >  Sludge & Death,  Preamble >  Mantis[2] -> Dump City >  Web Tangle[3] >  Larceny[3] >  Dump City,  (Sittin' On) The Dock of the Bay[4],  Susanah[5],  A Fifth of Beethoven","Front Porch,  All Things Ninja[6],  Debra,  Soul Food II,  The Floor,  Tribute to the Spinal Shaft >  That's What Love Will Make You Do,  Bright Lights, Big City >  Den >  Bright Lights, Big City",,Hot for Teacher,,,,,,,
0,2013-05-09,"Brendan and Jake,  The Cubby Bear, Chicago, IL, USA",Zmick,"['Summer Camp pre-party with Brendan and Jake', 'with They Love Each Other (Grateful Dead) tease before Pork Chop Pie']","{'1': 'unfinished', '2': 'Nelly; one verse', '3': 'with Layla (Derek and the Dominos) tease'}",,"Puppet String >  No Comment,  The Linear >  Glory,  August >  Cut the Cable >  August,  Soul Food I >  The Girl Is Mine >  Jane Says >  The Girl Is Mine,  Syncopated Strangers,  Alex's House,  Pork Chop Pie,  Black Water,  In The Kitchen >  Mediterranean Sundance >  White Pickle >  In The Kitchen,  Susanah,  Mail Package,  Two Dips,  Walking On The Moon >  Hajimemashite >  Puppet String",,,,"Night Moves,  Hangover[1] >  Ride Wit Me[2] >  40's Theme[3]",,,,,,,
0,2013-05-16,"""Hangout Music Festival"" Gulf Shores Public Beach, Gulf Shores, AL, USA",,['Letting Go Stage'],{'1': 'with Bridgeless jam'},,"Bridgeless,  Slacker >  The Triple Wide -> In The Kitchen[1],  Day Nurse,  The Floor,  Come As Your Kids",,,,,,,,,,,
0,2013-05-24,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,"['Sunshine Stage', 'last Rebubula 06.24.1999 (1,735 shows)']","{'1': 'with Dominic Lalli on saxophone', '2': 'with Rhinoceros (The Smashing Pumpkins) teases in intro'}",,,"There's No Crying In Mexico >  All In Time >  Preamble >  Mantis Ghetts,  Nothing Too Fancy >  Ringo,  Eat,  Believe the Lie,  Conduit,  Comma Later >  Nothing Too Fancy","Puppet String >  Plunger >  All In Time,  Sociable Jimmy,  Bright Lights, Big City[1],  Glory[2] >  Plunger >  Puppet String",,Rebubula,,,,,,,
0,2013-05-25,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,['Sunshine Stage'],"{'1': ""with Mad Dog's Filthy Little Secret horns"", '2': ""with Mad Dog's Filthy Little Secret horns; with It's About That Time (Miles Davis) jam""}",,,"Depth Charge >  Hurt Bird Bath,  The Linear >  White Pickle >  Rocker Part 2,  Booth Love[1],  I Got Love[1],  Andy's Last Beer[1],  Wizard Burial Ground","Wappy Sprayberry >  Ocean Billy,  Utopian Fir[2],  Debra[1],  Der Bluten Kat >  Final Word >  Der Bluten Kat",,Bridgeless[1],,,,,,,
0,2013-05-26,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,['Sunshine Stage'],"{'1': 'with Taj Mahal and Luther Dickinson', '2': 'with Luther Dickinson', '3': 'with No Comment tease'}",,"Slacker,  White Man's Moccasins,  Tribute to the Spinal Shaft >  Wife Soup,  Phil's Farm,  She Caught the Katy[1],  Dear Lord[2],  Higgins,  Smell the Mitten,  August[3] >  No Comment >  August,  Miss Tinkle's Overture",,,,,,,,,,,
