primary_key,date,title,venue,city,state,country,vip,support,notes,tags,set_ct,song_ct
01-17-2020-New_York-3-18,01-17-2020,"Beacon Theatre, New York, NY, USA",Beacon Theatre,New York,NY,USA,False,,['Anthem was in remembrance of Neil Peart'],"{1: 'began with More Than Words (Extreme) tease', 2: 'debut, Rush; Kanika Moore on vocals', 3: ""with Can't You Hear Me Knocking (The Rolling Stones) tease and Jumpin' Jack Flash (The Rolling Stones) jam"", 4: 'with Crazy Train (Ozzy Osbourne) jam'}",3,18
01-18-2020-New_York-3-15,01-18-2020,"Beacon Theatre, New York, NY, USA",Beacon Theatre,New York,NY,USA,False,,['Limelight was in remembrance of Neil Peart'],"{1: 'with Bright Lights, Big City jam', 2: ""Ain't Talkin' 'bout Love (Van Halen) tease"", 3: 'with Mike Stern and Leni Stern on guitars', 4: 'debut, Rush', 5: 'with Jake on keys', 6: 'with The Spirit of Radio and YYZ (Rush) teases'}",3,15
01-19-2020-Brooklyn-3-20,01-19-2020,"Brooklyn Bowl, Brooklyn, NY, USA",Brooklyn Bowl,Brooklyn,NY,USA,False,,,"{1: 'began with YYZ (Rush) tease', 2: 'with Q*Bert teases'}",3,20
01-23-2020-Jim_Thorpe-3-13,01-23-2020,"Penn's Peak, Jim Thorpe, PA, USA",Penn's Peak,Jim Thorpe,PA,USA,False,The New Deal,,"{1: 'with Rhiannon (Fleetwood Mac) teases', 2: 'with Oh Yeah (Yello) quote in intro; with Domino Theory jam'}",3,13
01-24-2020-Pittsburgh-3-18,01-24-2020,"Stage AE, Pittsburgh, PA, USA",Stage AE,Pittsburgh,PA,USA,False,The New Deal,['last Tom Sawyer 02.18.2017 (264 shows)'],"{1: 'debut, original; with Jake on acoustic', 2: 'with Blue Echo teases'}",3,18
01-25-2020-Columbus-3-17,01-25-2020,"Express Live!, Columbus, OH, USA",Express Live!,Columbus,OH,USA,False,The New Deal,,{1: 'with Proverbial jam'},3,17
01-29-2020-Fort_Wayne-3-18,01-29-2020,"Clyde Theatre, Fort Wayne, IN, USA",Clyde Theatre,Fort Wayne,IN,USA,False,The New Deal,['last Cocaine 08.28.2013 (607 shows)'],"{1: 'incomplete', 2: 'original version', 3: 'unfinished'}",3,18
01-30-2020-Northfield-3-15,01-30-2020,"MGM Northfield Park, Northfield, OH, USA",MGM Northfield Park,Northfield,OH,USA,False,The New Deal,,{1: 'with Jamie Shields on keys'},3,15
01-31-2020-Detroit-3-19,01-31-2020,"The Fillmore, Detroit, MI, USA",The Fillmore,Detroit,MI,USA,False,The New Deal,['last Meeting In the Aisle 07.09.2016 (322 shows)'],{},3,19
02-01-2020-Detroit-vip-1-5,02-01-2020,"The Fillmore, Detroit, MI, USA",The Fillmore,Detroit,MI,USA,True,,['set for those who purchased the VIP package'],{},1,5
02-01-2020-Detroit-3-16,02-01-2020,"The Fillmore, Detroit, MI, USA",The Fillmore,Detroit,MI,USA,False,The New Deal,,"{1: ""with Workin' Day and Night (Michael Jackson) jam""}",3,16
02-12-2020-Memphis-3-17,02-12-2020,"Graceland Soundstage at Elvis Presley’s Memphis, Memphis, TN,",Graceland Soundstage at Elvis Presley’s Memphis,Memphis,,"TN,",False,,['last Graceland 10.01.2010 (943 shows)'],{1: 'incomplete'},3,17
02-13-2020-Pelham-3-16,02-13-2020,"The Caverns, Pelham, TN,",The Caverns,Pelham,,"TN,",False,,,"{1: 'with Cavern (Phish) tease and quote', 2: 'with Over the Hills and Far Away (Led Zeppelin) teases'}",3,16
02-14-2020-Asheville-3-15,02-14-2020,"Exploreasheville.com Arena, Asheville, NC, USA",Exploreasheville.com Arena,Asheville,NC,USA,False,Billy Strings and Empire Strikes Brass,,"{1: 'with Billy Strings on guitar', 2: 'with Roundabout (Yes) intro'}",3,15
02-15-2020-Asheville-vip-1-4,02-15-2020,"Exploreasheville.com Arena, Asheville, NC, USA",Exploreasheville.com Arena,Asheville,NC,USA,True,,"['set for those who purchased the VIP package', 'last Patience 10.28.2011 (822 shows)']",{},1,4
02-15-2020-Asheville-3-19,02-15-2020,"Exploreasheville.com Arena, Asheville, NC, USA",Exploreasheville.com Arena,Asheville,NC,USA,False,Billy Strings and Empire Strikes Brass,['last Voodoo Child 02.21.2014 (574 shows)'],"{1: 'with Empire Strikes Brass', 2: 'with Billy Strings on guitar'}",3,19
02-26-2020-Bend-3-14,02-26-2020,"Midtown Ballroom, Bend, OR, USA",Midtown Ballroom,Bend,OR,USA,False,Andy Frasco & The U.N.,['with YYZ (Rush) tease before Intentions Clear'],"{1: 'with La Grange (ZZ Top) tease', 2: ""with Paradise City (Guns N' Roses) teases, jam, and quote""}",3,14
02-27-2020-Eugene-3-13,02-27-2020,"McDonald Theatre, Eugene, OR, USA",McDonald Theatre,Eugene,OR,USA,False,Andy Frasco & The U.N.,,"{1: 'with Mike Dillon on percussion', 2: ""with Domino Theory, Paradise City (Guns N' Roses), and Black Sabbath (Black Sabbath) teases"", 3: ""with Can't You Hear Me Knocking (the Rolling Stones) tease"", 4: ""with Ernie Chang on saxophone; with Can't You Hear Me Knocking (the Rolling Stones) tease""}",3,13
02-28-2020-Portland-3-19,02-28-2020,"Crystal Ballroom, Portland, OR, USA",Crystal Ballroom,Portland,OR,USA,False,Andy Frasco & The U.N.,['with YYZ (Rush) jam after Half Delayed'],"{1: 'with 2112: Discovery (Rush) intro', 2: 'with Andy Frasco on vocals and Al Schnier replacing Brendan on guitar'}",3,19
02-29-2020-Seattle-3-19,02-29-2020,"Showbox SoDo, Seattle, WA, USA",Showbox SoDo,Seattle,WA,USA,False,Andy Frasco & The U.N.,['last Pipeline 04.08.2016 (361 shows)'],"{1: 'with Rhiannon (Fleetwood Mac) tease; unfinished', 2: 'with Hindsight and Thunderstruck (AC/DC) teases', 3: 'with Ike Willis on vocals and Marcus Rezak on guitar', 4: 'with Use Me (Bill Withers) and Breathe (Pink Floyd) jams', 5: 'with Ernie Chang on saxophone and Andee Avila on percussion; with Binary Sunset (John Williams) tease and Working Day and Night (Michael Jackson) jam', 6: 'with Let Me Blow Ya Mind (Eve) teases'}",3,19
03-05-2020-Aspen-3-18,03-05-2020,"Belly Up Aspen, Aspen, CO, USA",Belly Up Aspen,Aspen,CO,USA,False,,,"{1: ""with Can't You See (The Marshall Tucker Band) tease"", 2: 'with Not Fade Away (Buddy Holly) tease', 3: 'partial', 4: 'with Hajimemashite tease in intro', 5: 'with ""Jiggle Thing"" (Bayliss) intro', 6: 'incomplete'}",3,18
03-06-2020-Aspen-3-17,03-06-2020,"Belly Up Aspen, Aspen, CO, USA",Belly Up Aspen,Aspen,CO,USA,False,,['last  ...And Justice For All 03.11.2017 (273 shows)'],"{1: 'unfinished', 2: 'with Last Man Swerving tease', 3: 'just Joel on piano'}",3,17
03-07-2020-Aspen-3-20,03-07-2020,"Belly Up Aspen, Aspen, CO, USA",Belly Up Aspen,Aspen,CO,USA,False,,,"{1: 'with Glory intro', 2: 'with Final Word tease', 3: ""with La Grange (ZZ Top) jam and (Don't Fear) The Reaper (Blue Oyster Cult) tease"", 4: 'first time played, Pearl Jam; one verse'}",3,20
06-10-2020-Niles-1-11,06-10-2020,"Boondock Studios, Niles, MI, USA",Boondock Studios,Niles,MI,USA,False,,"[""the band played live from Jake's Boondock Studio as a virtual concertThis show does not count for statistics.""]",{1: 'unfinished'},1,11
06-11-2020-Niles-1-12,06-11-2020,"Boondock Studios, Niles, MI, USA",Boondock Studios,Niles,MI,USA,False,,"[""the band played live from Jake's Boondock Studio as a virtual concertThis show does not count for statistics.""]","{1: 'with In A Silent Way (Miles Davis) teases; unfinished', 2: 'with Mind Left Body (Kanter/Garcia) jam', 3: 'with $5.00 Foot Long (Subway commercial) jam and quotes'}",1,12
09-02-2020-Chicago-1-10,09-02-2020,"Wrapped In the Round, Chicago, IL, USA",Wrapped In the Round,Chicago,IL,USA,False,,"['show featured Stew Art moments, with fan suggestions chosen out of a bowl', 'This show does not count for statistics.']","{1: 'with Stew Art selections ""Fripp It and Rip It,"" which included Frame By Frame (King Crimson) tease, and ""Baby Making Music""', 2: 'with Stew Art selections ""No Mr. Bond, I Expect You to Die"" and ""Eddie Van Halen Meets Axel Foley,"" which included Axel F (Harold Faltermeyer) and Hot For Teacher and Jump (Van Halen) teases'}",1,10
09-03-2020-Chicago-vip-1-1,09-03-2020,"Wrapped In the Round, Chicago, IL, USA",Wrapped In the Round,Chicago,IL,USA,True,,['song for those who purchased the VIP steam packageThis show does not count for statistics.'],{},1,1
09-03-2020-Chicago-1-11,09-03-2020,"Wrapped In the Round, Chicago, IL, USA",Wrapped In the Round,Chicago,IL,USA,False,,"['show featured Stew Art moments, with fan suggestions chosen out of a bowlThis show does not count for statistics.']","{1: 'with Stew Art selections ""Technical Difficulties"" and ""Rocket Launch""', 2: 'with Stew Art selection ""Underwater Ghost,"" which featured Jake on bass and Hang Up Your Hang Ups (Herbie Hancock) teases'}",1,11
09-05-2020-Bridgeview-3-17,09-05-2020,"""At the Drive Inn"" SeatGeek Stadium, Bridgeview, IL, USA","""At the Drive Inn"" SeatGeek Stadium",Bridgeview,IL,USA,False,,['with Cars (Gary Newman) tease before Hurt Bird Bath'],{},3,17
09-06-2020-Bridgeview-3-16,09-06-2020,"""At the Drive Inn"" SeatGeek Stadium, Bridgeview, IL, USA","""At the Drive Inn"" SeatGeek Stadium",Bridgeview,IL,USA,False,,,"{1: 'with Shine On You Crazy Diamond (Pink Floyd) teases', 2: ""with Paradise City (Guns N' Roses) and Hold On Loosely (38 Special) teases"", 3: 'with I Got Love (Nate Dogg) jam', 4: 'completing the 09.05.2020 version'}",3,16
10-09-2020-Hampton-3-17,10-09-2020,"""Drive In at the Speedway"" Atlanta Motor Speedway, Hampton, GA, USA","""Drive In at the Speedway"" Atlanta Motor Speedway",Hampton,GA,USA,False,,,"{1: ""with Ain't Talkin' 'Bout Love (Van Halen) jam and quote""}",3,17
10-10-2020-Hampton-3-17,10-10-2020,"""Drive In at the Speedway"" Atlanta Motor Speedway, Hampton, GA, USA","""Drive In at the Speedway"" Atlanta Motor Speedway",Hampton,GA,USA,False,,['show start was delayed due to weather'],{1: 'with 316 and Eruption (Van Halen) teases in intro'},3,17
01-11-2019-Richmond-3-18,01-11-2019,"The National, Richmond, VA, USA",The National,Richmond,VA,USA,False,The Trongone Band,,{1: 'with Jake on keys'},3,18
01-12-2019-Richmond-3-18,01-12-2019,"The National, Richmond, VA, USA",The National,Richmond,VA,USA,False,The Trongone Band,"['with Birthday (The Beatles) teases before 2nd Self, for Joel and Chris Mitchell', 'last I Heard It Through the Grapevine 08.14.2014 (402 shows)', 'with Happy Birthday tease before Ringo']","{1: 'with false start', 2: 'with Jake on keys', 3: 'unfinished'}",3,18
01-15-2019-Atlantic_Ocean-2-11,01-15-2019,"""Jam Cruise 17"" Norwegian Jade, Atlantic Ocean, Atlantic Ocean","Jam Cruise 17"" Norwegian Jade",Atlantic Ocean,,Atlantic Ocean,False,,['Pool Deck'],{},2,11
01-16-2019-Atlantic_Ocean-1-10,01-16-2019,"""Jam Cruise 17"" Norwegian Jade, Atlantic Ocean, Atlantic Ocean","Jam Cruise 17"" Norwegian Jade",Atlantic Ocean,,Atlantic Ocean,False,,['Stardust Theater'],"{1: ""with YYZ (Rush), and Nuthin' but a 'G' Thang and Xxplosive (Dr. Dre) teases; unfinished"", 2: 'with Chris Brouwers on trumpet, Greg Sanderson on tenor saxophone, and Josh Schwartz on baritone saxophone', 3: 'with Skerik on saxophone and Mike Dillon on percussion; with Entrance of the Gladiators (Julius Fučík) tease'}",1,10
01-18-2019-Cincinnati-3-17,01-18-2019,"Taft Theatre, Cincinnati, OH, USA",Taft Theatre,Cincinnati,OH,USA,False,Big Something,"[""with YYZ (Rush) teases before Phil's Farm""]","{1: 'with Stairway to Heaven (Led Zeppelin) tease', 2: 'unfinished', 3: ""with Can't You Hear Me Knocking (The Rolling Stones) tease"", 4: 'with Nick Blasky on percussion'}",3,17
01-19-2019-Cincinnati-vip-1-5,01-19-2019,"Taft Theatre, Cincinnati, OH, USA",Taft Theatre,Cincinnati,OH,USA,True,,"['set for those who purchased the VIP package', 'with Rain Song (Led Zeppelin) tease after The Song Remains the Same']",{},1,5
01-19-2019-Cincinnati-3-16,01-19-2019,"Taft Theatre, Cincinnati, OH, USA",Taft Theatre,Cincinnati,OH,USA,False,Big Something,,"{1: 'with Crazy Train (Ozzy Osbourne) teases', 2: 'with Casey Cranford on EWI', 3: 'with Jake on keys; with Rhiannon (Fleetwood Mac) teases', 4: 'with Lose Yourself (Eminem) and Game of Thrones theme (Djawadi) teases'}",3,16
01-25-2019-Milwaukee-3-15,01-25-2019,"Riverside Theater, Milwaukee, WI, USA",Riverside Theater,Milwaukee,WI,USA,False,Marcus King Band,"[""last It's Gonna Be A Long Night 02.17.2008 (1,149 shows)""]","{1: 'with Rockit (Herbie Hancock) tease', 2: 'with Australian Lullaby tease', 3: 'with Jake on keys'}",3,15
01-26-2019-Milwaukee-vip-1-5,01-26-2019,"Riverside Theater, Milwaukee, WI, USA",Riverside Theater,Milwaukee,WI,USA,True,,"['set for those who purchased the VIP package', ""with 40's Theme, Words, and Start Me Up (Rolling Stones) teases before Ride On Pony""]",{1: 'with Cut Off teases'},1,5
01-26-2019-Milwaukee-3-17,01-26-2019,"Riverside Theater, Milwaukee, WI, USA",Riverside Theater,Milwaukee,WI,USA,False,Marcus King Band,"['last Coming In From the Cold 10.09.2002 (1,880 shows)']","{1: 'with Marcus King on guitar', 2: 'with reprise of ""turbo"" version', 3: ""with Don't Stand So Close to Me (The Police) teases"", 4: 'with Imperial March (Star Wars) (John Williams) tease', 5: 'with Big Heart (Lounge Lizards) jam', 6: 'with Bombtrack (Rage Against the Machine) jam and quote; with Jake on drums; with Home (The New Deal) jam', 7: ""with One Nation Under a Groove (Funkadelic) and Jesu, Joy of Man's Desiring (Bach) teases""}",3,17
01-31-2019-New_Haven-3-13,01-31-2019,"College Street Music Hall, New Haven, CT, USA",College Street Music Hall,New Haven,CT,USA,False,Robert Walter’s 20th Congress,,{},3,13
02-01-2019-Albany-3-19,02-01-2019,"Palace Theatre, Albany, NY, USA",Palace Theatre,Albany,NY,USA,False,Robert Walter’s 20th Congress,,"{1: 'with Robert Walter on keys', 2: 'with Norwegian Wood (The Beatles) tease and jam', 3: 'with Vinnie Amico on drums'}",3,19
02-02-2019-Portland-3-15,02-02-2019,"State Theatre, Portland, ME, USA",State Theatre,Portland,ME,USA,False,Robert Walter’s 20th Congress,['with The Gambler (Kenny Rogers) quote from Jake and tease from Kris before Ringo'],"{1: 'with Dreams (Fleetwood Mac) jams and quote', 2: 'with Scott Metzger on guitar and Jake on keys', 3: 'with Jake on keys; ended with Pooh Doggie jam; unfinished', 4: '""Jimmy Stewart"" with lyrics'}",3,15
02-14-2019-Brooklyn-3-16,02-14-2019,"Brooklyn Steel, Brooklyn, NY, USA",Brooklyn Steel,Brooklyn,NY,USA,False,,['last E.T.I. 02.04.2016 (281 shows)'],"{1: 'with YYZ (Rush) teases', 2: ""with Baba O'Riley (The Who) teases""}",3,16
02-15-2019-Brooklyn-3-15,02-15-2019,"Brooklyn Steel, Brooklyn, NY, USA",Brooklyn Steel,Brooklyn,NY,USA,False,,,"{1: 'with Mike Maher on trumpet, Chris Ott on trombone, and Dan White on tenor saxophone', 2: 'with Human Nature (Michael Jackson) intro from Ryan; with Isaac Teel and Jake on percussion', 3: 'unfinished'}",3,15
02-16-2019-Brooklyn-vip-1-6,02-16-2019,"Brooklyn Steel, Brooklyn, NY, USA",Brooklyn Steel,Brooklyn,NY,USA,True,,"['set for those who purchased the VIP package', 'with YYZ (Rush) tease before The Fuzz']",{},1,6
02-16-2019-Brooklyn-3-19,02-16-2019,"Brooklyn Steel, Brooklyn, NY, USA",Brooklyn Steel,Brooklyn,NY,USA,False,,,"{1: 'with Kanika Moore on vocals', 2: 'incomplete', 3: 'with The Chicken (Pee Wee Ellis) and The Safety Dance (Men Without Hats) teases', 4: 'with Jake on keys'}",3,19
02-21-2019-Fort_Wayne-3-17,02-21-2019,"Clyde Theatre, Fort Wayne, IN, USA",Clyde Theatre,Fort Wayne,IN,USA,False,Moser Woods,['with La Grange (ZZ Top) and Ain’t Talking Bout Love (Van Halen) teases before Mad Love'],"{1: 'with Entrance of the Gladiators (Julius Fučík) tease', 2: ""with Nicholas D'Virgilio on percussion"", 3: 'with Eruption (Van Halen) tease', 4: 'with Taking Care of Business (Bachman Turner Overdrive) jam and quote, Today (Smashing Pumpkins) tease, and 10th Grade quote'}",3,17
02-22-2019-Detroit-3-14,02-22-2019,"The Fillmore, Detroit, MI, USA",The Fillmore,Detroit,MI,USA,False,Michal Menert and the Pretty Fantastics,,"{1: 'with Detroit Rock City (Kiss) tease and quote; with Syncopated Strangers teases', 2: 'with Jake on keys; unfinished', 3: 'with Everybody Wants You (Billy Squier) jam', 4: 'unfinished', 5: 'with YYZ (Rush) tease'}",3,14
02-23-2019-Detroit-vip-1-5,02-23-2019,"The Fillmore, Detroit, MI, USA",The Fillmore,Detroit,MI,USA,True,,['set for those who purchased the VIP package'],{1: 'with Cars Trucks Buses (Phish) teases'},1,5
02-23-2019-Detroit-3-16,02-23-2019,"The Fillmore, Detroit, MI, USA",The Fillmore,Detroit,MI,USA,False,Michal Menert and the Pretty Fantastics,,"{1: 'with Chuck Bartels replacing Ryan on bass', 2: 'with Nick Gerlach on saxophone', 3: 'with Stairway to Heaven (Led Zeppelin) tease', 4: 'completing the 02.22.2019 version'}",3,16
03-01-2019-Oakland-3-17,03-01-2019,"The Fox Theater, Oakland, CA, USA",The Fox Theater,Oakland,CA,USA,False,Ghost-Note,,"{1: 'with Jake on keys', 2: 'with Let Me Blow Ya Mind (Eve) tease'}",3,17
03-02-2019-Los_Angeles-3-17,03-02-2019,"The Wiltern, Los Angeles, CA, USA",The Wiltern,Los Angeles,CA,USA,False,Ghost-Note,,"{1: ""with Can't You Hear Me Knocking (Rolling Stones) tease"", 2: 'with Nate Werth on percussion; with Soul Food II teases', 3: 'with Eruption (Van Halen) tease'}",3,17
03-03-2019-Phoenix-1-9,03-03-2019,"""M3F Festival"" Margaret T. Hance Park, Phoenix, AZ, USA","""M3F Festival"" Margaret T. Hance Park",Phoenix,AZ,USA,False,,,{},1,9
03-07-2019-Bend-3-17,03-07-2019,"Midtown Ballroom, Bend, OR, USA",Midtown Ballroom,Bend,OR,USA,False,Ghost-Note,,"{1: 'with Everybody Wants You (Billy Squier) teases', 2: 'with Regulate (Warren G and Nate Dogg) teases'}",3,17
03-08-2019-Eugene-3-18,03-08-2019,"McDonald Theatre, Eugene, OR, USA",McDonald Theatre,Eugene,OR,USA,False,Ghost-Note,,"{1: 'with The Fuzz teases', 2: 'with Johnny B. Goode (Chuck Berry) tease', 3: 'unfinished', 4: 'with Robert ""Sput"" Searight on drums', 5: ""with Breezin' (George Benson) teases""}",3,18
03-09-2019-Seattle-3-15,03-09-2019,"Showbox SoDo, Seattle, WA, USA",Showbox SoDo,Seattle,WA,USA,False,Ghost-Note,,"{1: ""with Ain't Talkin' 'bout Love (Van Halen) tease; unfinished"", 2: ""with It's About That Time (Miles Davis) jam"", 3: ""with Wanna Be Startin' Somethin' (Michael Jackson) tease"", 4: 'with Nate Werth on percussion, Vaughn Henry on keyboards, and Sylvester Onyejiaka on saxophone', 5: 'with Roundabout (Yes) tease in intro'}",3,15
03-10-2019-Sandpoint-3-14,03-10-2019,"The Hive, Sandpoint, ID, USA",The Hive,Sandpoint,ID,USA,False,,,"{1: 'with The Message (Grandmaster Flash and the Furious Five) jam', 2: 'with Jeff Grady on percussion'}",3,14
03-21-2019-Jim_Thorpe-3-19,03-21-2019,"Penn's Peak, Jim Thorpe, PA, USA",Penn's Peak,Jim Thorpe,PA,USA,False,Big Something,"['with Uncommon tease before Roulette', 'last Cinnamon Girl 10.16.2013 (526 shows)']","{1: 'with Eruption (Van Halen) tease', 2: 'with Born Under a Bad Sign (William Bell/Booker T. Jones) teases', 3: 'with Robbie Williams on ""vocals""'}",3,19
03-22-2019-Pittsburgh-3-14,03-22-2019,"Stage AE, Pittsburgh, PA, USA",Stage AE,Pittsburgh,PA,USA,False,Big Something,,{1: 'with Casey Cranford on saxophone'},3,14
03-23-2019-Cleveland-3-18,03-23-2019,"Masonic Auditorium, Cleveland, OH, USA",Masonic Auditorium,Cleveland,OH,USA,False,Big Something,['last 50 Ways to Leave Your Lover 04.03.2014 (476 shows)'],"{1: 'with Domino Theory teases', 2: 'with Everybody Wants You (Billy Squier) teases', 3: 'with Shhh / Peaceful (Miles Davis) teases'}",3,18
03-29-2019-Nashville-3-14,03-29-2019,"Ryman Auditorium, Nashville, TN, USA",Ryman Auditorium,Nashville,TN,USA,False,,,{1: 'with Rhiannon (Fleetwood Mac) teases and jam'},3,14
03-30-2019-Nashville-vip-1-6,03-30-2019,"Ryman Auditorium, Nashville, TN, USA",Ryman Auditorium,Nashville,TN,USA,True,,['set for those who purchased the VIP package'],{1: 'with The Boys of Summer (Don Henley) tease'},1,6
03-30-2019-Nashville-3-16,03-30-2019,"Ryman Auditorium, Nashville, TN, USA",Ryman Auditorium,Nashville,TN,USA,False,,"['last Ten Years Gone 09.11.2003 (1,769 shows)']","{1: 'unfinished', 2: 'with Brendan and Jake on acoustics', 3: 'with Brendan on acoustic', 4: 'debut in full; Led Zeppelin', 5: 'debut, Tyler Childers; with Brendan on acoustic', 6: 'with Over the Hills and Far Away (Led Zeppelin) tease'}",3,16
04-03-2019-Aspen-3-15,04-03-2019,"Belly Up Aspen, Aspen, CO, USA",Belly Up Aspen,Aspen,CO,USA,False,,['last London Calling 01.31.2011 (833 shows)'],"{1: 'with Roundabout (Yes) teases', 2: '""Jimmy Stewart"" with lyrics', 3: 'with Maybe Someday and FDR teases', 4: 'with Q*Bert tease'}",3,15
04-04-2019-Aspen-3-14,04-04-2019,"Belly Up Aspen, Aspen, CO, USA",Belly Up Aspen,Aspen,CO,USA,False,,,{1: 'with Jason Hann on percussion'},3,14
04-05-2019-Aspen-2-12,04-05-2019,"""The Apres"" Buttermilk Ski Area, Aspen, CO, USA","""The Apres"" Buttermilk Ski Area",Aspen,CO,USA,False,,,"{1: 'unfinished', 2: 'with All Things Ninja teases', 3: 'with Muff II: The Revenge jam', 4: 'with Domino Theory jam and Happy Birthday (trad.) tease'}",2,12
04-27-2019-North_Charleston-1-11,04-27-2019,"""Trondossa Music & Arts Fest"" Riverfront Park, North Charleston, SC, USA","""Trondossa Music & Arts Fest"" Riverfront Park",North Charleston,SC,USA,False,,,{1: 'with La Grange (ZZ Top) jam'},1,11
04-28-2019-North_Charleston-1-9,04-28-2019,"""Trondossa Music & Arts Fest"" Riverfront Park, North Charleston, SC, USA","""Trondossa Music & Arts Fest"" Riverfront Park",North Charleston,SC,USA,False,,,{1: 'with Kanika Moore on vocals'},1,9
05-10-2019-Charlotte-3-17,05-10-2019,"""Charlotte SHOUT! Festival"" Romare Bearden Park, Charlotte, NC, USA","""Charlotte SHOUT! Festival"" Romare Bearden Park",Charlotte,NC,USA,False,,,"{1: 'with G. Love on harmonica and Mike Quinn on saxophone', 2: 'with MLK (U2) tease', 3: 'with Roundabout and Mood For a Day (Yes) teases in intro'}",3,17
05-23-2019-Chillicothe-vip-1-4,05-23-2019,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,True,,"['Red Barn', 'set for those who purchased the VIP package']","{1: ""with Breezin' (George Benson) tease""}",1,4
05-23-2019-Chillicothe-2-10,05-23-2019,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,"['Red Barn', 'late night set', 'last Stop 06.09.2000 (2,251 shows)']","{1: 'with Third Stone From the Sun (Jimi Hendrix) teases; unfinished', 2: 'with Jake on keys', 3: 'with Hysteria (Def Leppard) tease', 4: 'with One (Metallica) tease'}",2,10
05-24-2019-Chillicothe-2-22,05-24-2019,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,"['Sunshine Stage', 'for the second set, the album Anchor Drops was played in its entirety', 'last Bullhead City 05.06.2016 (276 shows)']","{1: 'with Here Come the Mummies on horns', 2: 'completing the 05.23.2019 version', 3: 'with Hang Up Your Hang Ups (Herbie Hancock) jam', 4: 'with Tierinii Jackson on vocals and Jake on acoustic'}",2,22
05-25-2019-Chillicothe-1-7,05-25-2019,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,"['Sunshine Stage', 'show was halted due to inclement weather']","{1: 'debut, original', 2: 'unfinished'}",1,7
05-26-2019-Chillicothe-1-11,05-26-2019,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,['Sunshine Stage'],"{1: 'with Allie Kral on violin and Arlo McKinley on vocals', 2: 'with Reubula tease; unfinished', 3: 'with Norwegian Wood (The Beatles) jam', 4: 'completing the 05.25.2019 version', 5: 'debut, Soundgarden; with Andy on drums and Kris only on vocals'}",1,11
05-30-2019-Birmingham-3-17,05-30-2019,"Avondale Brewing Company, Birmingham, AL, USA",Avondale Brewing Company,Birmingham,AL,USA,False,,['last Who Knows 08.14.2015 (345 shows)'],{},3,17
05-31-2019-Ozark-2-10,05-31-2019,"""Backwoods Music Festival"" Mulberry Mountain, Ozark, AR, USA","""Backwoods Music Festival"" Mulberry Mountain",Ozark,AR,USA,False,,['Motherland Stage'],{},2,10
06-01-2019-Jackson-2-11,06-01-2019,"""Cathead Jam"" Cathead Distillery, Jackson, MS, USA","""Cathead Jam"" Cathead Distillery",Jackson,MS,USA,False,,,{},2,11
06-21-2019-Morrison-3-16,06-21-2019,"Red Rocks Amphitheatre, Morrison, CO, USA",Red Rocks Amphitheatre,Morrison,CO,USA,False,Spafford,,"{1: 'debut, Pink Floyd; with Kanika Moore on vocals'}",3,16
06-22-2019-Morrison-vip-1-6,06-22-2019,"Red Rocks Amphitheatre, Morrison, CO, USA",Red Rocks Amphitheatre,Morrison,CO,USA,True,,['set for those who purchased the VIP package'],{},1,6
06-22-2019-Morrison-3-17,06-22-2019,"Red Rocks Amphitheatre, Morrison, CO, USA",Red Rocks Amphitheatre,Morrison,CO,USA,False,Turkuaz,"['last With a Little Help from My Friends 12.31.2008 (1,088 shows); played for Jeff']","{1: 'with Fool In the Rain (Led Zeppelin) tease', 2: 'with Christopher Brouwers on trumpet, and Greg Sanderson and Joshua Schwartz on saxophones', 3: 'with Shira Elias and Sammi Garett on vocals, Brouwers on trumpet, and Sanderson and Schwartz on saxophones', 4: 'debut, Talking Heads (Al Green); with Elias and Garett on vocals, Brouwers on trumpet, and Sanderson and Schwartz on saxophones'}",3,17
