primary_key,date,title,venue,city,state,country,vip,support,notes,tags,set_ct,song_ct
10-31-2009-Groveland_(Yosemite)-3-21,10-31-2009,"Las Tortugas - Dance of the Dead IV, Groveland (Yosemite), CA, USA",Las Tortugas - Dance of the Dead IV,Groveland (Yosemite),CA,USA,False,,"['Band costumes: Brendan as Captain Kirk Hammett, Jake was George Harrison Ford, Joel was Dirty Harry Caray, Andy was Wizard of Ozzie Guillen, Kris was Payne Stewart Copeland, and Ryan was Brett Michaels Jackson.']","{1: 'with Smooth Criminal (Michael Jackson) jam and Another One Bites the Dust (Queen), Whole Lotta Love (Led Zeppelin), and Rumble (Link Wray) teases', 2: 'with Late In the Evening (Paul Simon) jams', 3: ""with Wanna Be Startin' Somethin' (Michael Jackson) jam"", 4: 'debut; Sweet Dreams (Eurythmics) + Sunglasses at Night (Corey Hart) + Electric Feel (MGMT) mash-up', 5: ""debut; The Gambler (Kenny Rogers) + Night Fever (The Bee Gees) + Rapper's Delight (The Sugarhill Gang) + Bring the Noise (Public Enemy; with Andy on vocals) mash-up"", 6: 'with Bill Kreutzmann on drums', 7: 'debut; Wappy Sprayberry + Land of Confusion (Genesis) + Seek & Destroy (Metallica) mash-up', 8: 'debut; Nemo + Fat Bottomed Girls (Queen) + Good Times Bad Times (Led Zeppelin) mash-up'}",3,21
11-11-2009-Toronto-3-17,11-11-2009,"The Opera House, Toronto, ON, Canada",The Opera House,Toronto,ON,Canada,False,,,"{1: 'with No Quarter (Led Zeppelin) jam', 2: 'with Jamie Shields on keys'}",3,17
11-12-2009-South_Burlington-3-15,11-12-2009,"Higher Ground, South Burlington, VT, USA",Higher Ground,South Burlington,VT,USA,False,Michetti,,{1: 'unfinished'},3,15
11-13-2009-South_Burlington-3-15,11-13-2009,"Higher Ground, South Burlington, VT, USA",Higher Ground,South Burlington,VT,USA,False,,,{1: 'with Mike Gordon replacing Ryan on bass; unfinished'},3,15
11-14-2009-South_Burlington-3-18,11-14-2009,"Higher Ground, South Burlington, VT, USA",Higher Ground,South Burlington,VT,USA,False,,"[""last Baby Honey Sugar Darlin' 11.20.2002 (923 shows)""]","{1: '""Jimmy Stewart"" with lyrics', 2: 'with Dave Grippo and Bryan McNamara on saxophones, Jennifer Hartswick on trumpet', 3: 'debut, Heart; with Jennifer Hartswick on vocals'}",3,18
11-15-2009-Portland-3-17,11-15-2009,"Port City Music Hall, Portland, ME, USA",Port City Music Hall,Portland,ME,USA,False,,['last Tomorrow Never Knows 04.15.2007 (308 shows)'],{1: 'with JaJunk tease'},3,17
11-17-2009-Clifton_Park-3-15,11-17-2009,"Northern Lights, Clifton Park, NY, USA",Northern Lights,Clifton Park,NY,USA,False,,,{1: 'started with Soul Food II jam'},3,15
11-18-2009-Rochester-3-22,11-18-2009,"Water Street Music Hall, Rochester, NY, USA",Water Street Music Hall,Rochester,NY,USA,False,,['last Kashmir 04.20.2007 (306 shows)'],"{1: 'with Peter Gunn Theme / Every Breath You Take (Henry Mancini/The Police) jam', 2: 'one verse'}",3,22
11-19-2009-Millvale-3-17,11-19-2009,"Mr. Small's Theatre, Millvale, PA, USA",Mr. Small's Theatre,Millvale,PA,USA,False,,,{1: 'with Norwegian Wood (The Beatles) and Voodoo Chile (Jimi Hendrix) jams'},3,17
11-20-2009-Washington-3-15,11-20-2009,"9:30 Club, Washington, DC, USA",9:30 Club,Washington,DC,USA,False,,,"{1: 'debut, original'}",3,15
11-21-2009-Washington-3-15,11-21-2009,"9:30 Club, Washington, DC, USA",9:30 Club,Washington,DC,USA,False,,,"{1: 'with Pipeline (The Chantays) tease', 2: 'with Prophecy Now tease', 3: 'with A Love Supreme (John Coltrane) / The End (The Doors) jam'}",3,15
12-10-2009-Runaway_Bay-2-8,12-10-2009,"""Caribbean Holidaze"" Hedonism III, Runaway Bay, Jamaica","Caribbean Holidaze"" Hedonism III",Runaway Bay,,Jamaica,False,,['Main Stage'],{},2,8
12-11-2009-Runaway_Bay-3-18,12-11-2009,"""Caribbean Holidaze"" Hedonism III, Runaway Bay, Jamaica","Caribbean Holidaze"" Hedonism III",Runaway Bay,,Jamaica,False,,['Main Stage'],"{1: ""with Breezin' (George Benson) teases"", 2: 'stage power went out; the ending of Miss Tinkle’s began set two'}",3,18
12-13-2009-Runaway_Bay-3-15,12-13-2009,"""Caribbean Holidaze"" Hedonism III, Runaway Bay, Jamaica","Caribbean Holidaze"" Hedonism III",Runaway Bay,,Jamaica,False,,['Main Stage'],{1: 'with Jennifer Hartswick on vocals'},3,15
12-29-2009-Chicago-3-20,12-29-2009,"The Vic Theatre, Chicago, IL, USA",The Vic Theatre,Chicago,IL,USA,False,,,"{1: 'with The Little Drummer Boy (Katherine Kennicott Davis) tease', 2: ""with (Don't Fear) The Reaper (Blue Öyster Cult) tease"", 3: 'debut, Joe Higgs (Peter Tosh)'}",3,20
12-30-2009-Chicago-3-15,12-30-2009,"Aragon Ballroom, Chicago, IL, USA",Aragon Ballroom,Chicago,IL,USA,False,Z-Trip,['last All Night Long 10.02.2005 (516 shows)'],"{1: 'with Professor Wormbog teases', 2: 'with Jake on percussion', 3: 'with Michael ""Mad Dog"" Mavridoglou conducting', 4: 'with Jeff Coffin on saxophone', 5: 'debut, The Beatles; with Jeff Coffin on saxophone', 6: 'with Start Me Up (The Rolling Stones) jam'}",3,15
12-31-2009-Chicago-4-25,12-31-2009,"Aragon Ballroom, Chicago, IL, USA",Aragon Ballroom,Chicago,IL,USA,False,Prefuse 73,"['Mad Dog and his Filthy Little Secret horns were: Michael ""Mad Dog"" Mavridoglou on trumpet, Jeff Coffin on saxophone, Chris Neal on saxophone, and Brent Sanders on trombone', 'last Headphones & Snowcones 10.04.2002 (955 shows)', 'last The Skunk, The Goose, and The Fly 12.31.2001 (1,084 shows)']","{1: 'with Mad Dog and his Filthy Little Secret horns', 2: 'with Mad Dog and his Filthy Little Secret horns; with Mike Mirro on Marimba and Jake on percussion', 3: 'ended with band on electronics and drum pads at front of house', 4: 'debut, Jeff Coffin; with Mad Dog and his Filthy Little Secret horns', 5: 'debut, Bruce Springsteen; with Mad Dog and his Filthy Little Secret horns', 6: 'with Soul Food II teases; with Mad Dog and his Filthy Little Secret horns', 7: 'debut, original (re-mix by Michael G of Easy Star All Stars); with Mad Dog and his Filthy Little Secret horns', 8: 'debut, Frankie Valli; with Jake on bass', 9: 'debut, Steely Dan; with Mad Dog and his Filthy Little Secret horns'}",4,25
02-07-2008-Vancouver-3-14,02-07-2008,"Richard's on Richards, Vancouver, BC, Canada",Richard's on Richards,Vancouver,BC,Canada,False,,['last Seek and Destroy 10.28.2005 (272 shows)'],{1: 'with JaJunk tease'},3,14
02-08-2008-Seattle-3-14,02-08-2008,"Showbox at the Market, Seattle, WA, USA",Showbox at the Market,Seattle,WA,USA,False,Dub Trio,"[""with (Don't Fear) the Reaper (Blue Öyster Cult) tease before Out Of Order""]","{1: 'debut, Genesis'}",3,14
02-09-2008-Portland-3-17,02-09-2008,"Roseland Theater, Portland, OR, USA",Roseland Theater,Portland,OR,USA,False,Dub Trio,,"{1: 'with The Floor teases', 2: 'with YYZ (Rush) jam', 3: 'with Norwegian Wood (The Beatles) jam and Search 4 teases', 4: 'debut, The Clash'}",3,17
02-11-2008-Ventura-3-14,02-11-2008,"Majestic Ventura Theatre, Ventura, CA, USA",Majestic Ventura Theatre,Ventura,CA,USA,False,Dub Trio,['last Dear Prudence 09.18.2002 (735 shows)'],"{1: 'debut in full, The Beatles'}",3,14
02-12-2008-San_Diego-3-15,02-12-2008,"House of Blues, San Diego, CA, USA",House of Blues,San Diego,CA,USA,False,Dub Trio,,"{1: 'with Mike Keneally on keys and Abacab (Genesis) jam', 2: ""ended with Mike Mirro on drums and Can't You Hear Me Knocking (The Rolling Stones) jam"", 3: 'with Mike Keneally in guitar', 4: 'debut, Steely Dan; with Mike Keneally on guitar and vocals'}",3,15
02-13-2008-Los_Angeles-3-10,02-13-2008,"Crash Mansion LA, Los Angeles, CA, USA",Crash Mansion LA,Los Angeles,CA,USA,False,Dub Trio,,"{1: 'unfinished', 2: 'with Willie Waldman on trumpet and Stephen Perkins on percussion', 3: 'jam contained full band switch with Dub Trio', 4: 'debut, DJ Zebra'}",3,10
02-15-2008-San_Francisco-3-15,02-15-2008,"The Fillmore, San Francisco, CA, USA",The Fillmore,San Francisco,CA,USA,False,OM Trio,,"{1: 'debut, original', 2: 'debut, Rage Against the Machine; with Ilya Stemkovsky on vocals and Brian Felix on keys'}",3,15
02-16-2008-San_Francisco-3-16,02-16-2008,"The Fillmore, San Francisco, CA, USA",The Fillmore,San Francisco,CA,USA,False,OM Trio,,"{1: 'with Machine Gun (Jimi Hendrix) jam', 2: 'with David Murphy replacing Ryan on bass', 3: 'with Mike Flynn on organ', 4: 'with Cecil ""P-Nut"" Daniels on midi-saxophone; with So What (Miles Davis) jam', 5: 'debut, The Smashing Punpkins'}",3,16
02-17-2008-San_Francisco-3-15,02-17-2008,"The Fillmore, San Francisco, CA, USA",The Fillmore,San Francisco,CA,USA,False,,,"{1: 'with Mitch Marcus on saxophone', 2: 'with Steve Molitz on keys', 3: 'debut, Slick Rick; with Steve Molitz on keys and vocals', 4: 'with Josh Clark replacing Brendan on guitar', 5: 'with Some Children See Him (Hutson & Burt) intro from Joel', 6: 'debut, Ween; with Mitch Marcus on saxophone'}",3,15
02-27-2008-Des_Moines-3-17,02-27-2008,"People's Court, Des Moines, IA, USA",People's Court,Des Moines,IA,USA,False,,,"{1: 'with Pick Your Nose jam', 2: 'with The Floor teases', 3: 'unfinished'}",3,17
02-28-2008-Davenport-3-16,02-28-2008,"The Capitol Theatre, Davenport, IA, USA",The Capitol Theatre,Davenport,IA,USA,False,,['with Tom Sawyer and The Spirit of Radio (Rush) teases after Uncle Wally'],"{1: 'ended with a ""keyboard duel"" between Kris and Andy on house piano and organ, Jake on additional keys', 2: 'unfinished'}",3,16
02-29-2008-Minneapolis-3-15,02-29-2008,"First Avenue, Minneapolis, MN, USA",First Avenue,Minneapolis,MN,USA,False,North Indiana All Stars,,"{1: ""with Norwegian Wood (The Beatles) jam, Regulate (Warren G and Nate Dogg) tease, and The Traitor (Herbie Hancock) and Workin' Day and Night (Michael Jackson) jams"", 2: 'with Mullet (Over) and Hot for Teacher (Van Halen) teases', 3: 'with Willie Waldman on trumpet', 4: ""ended with Can't You Hear Me Knocking (The Rolling Stones) jam""}",3,15
03-01-2008-Minneapolis-3-14,03-01-2008,"First Avenue, Minneapolis, MN, USA",First Avenue,Minneapolis,MN,USA,False,,,"{1: 'with Voodoo Child (Jimi Hendrix) teases', 2: 'with Kevin Sinclair on saxophone'}",3,14
03-02-2008-Minneapolis-3-15,03-02-2008,"First Avenue, Minneapolis, MN, USA",First Avenue,Minneapolis,MN,USA,False,,,{1: 'with Kevin Sinclair on saxophone'},3,15
03-04-2008-Bloomington-3-15,03-04-2008,"The Bluebird Nightclub, Bloomington, IN, USA",The Bluebird Nightclub,Bloomington,IN,USA,False,,"[""Jack Daniel's private show""]","{1: 'with Kula jam', 2: 'with Dave Kubiak on vocals', 3: 'with Kevin Browning on guitar, Adam Budney on bass, Vince Iwinski on cowbell and vocals, Don Richards on keyboards, Bob Ston on drums, Wade Wilby on percussion, and Robbie Williams on guitar playing instead of Umphrey', 4: 'with Part-Time Lover (Stevie Wonder) jam', 5: 'with Sweet Home Alabama (Lynyrd Skynyrd) jam'}",3,15
03-07-2008-Big_Cypress_Reservation-2-15,03-07-2008,"Langerado Music Festival, Big Cypress Reservation, FL, USA",Langerado Music Festival,Big Cypress Reservation,FL,USA,False,,['late night on Sunset Stage'],{},2,15
03-14-2008-London-1-9,03-14-2008,"Carling Academy Islington, London, England, UK",Carling Academy Islington,London,England,UK,False,,['played before The Disco Biscuits'],{},1,9
03-16-2008-Amsterdam-2-12,03-16-2008,"""Jam in the 'Dam"" Melkweg The Max, Amsterdam, The Netherlands","Jam in the 'Dam"" Melkweg The Max",Amsterdam,,The Netherlands,False,,,{1: 'with Home (The New Deal) jam'},2,12
03-18-2008-Amsterdam-1-12,03-18-2008,"""Jam in the 'Dam"" Melkweg The Max, Amsterdam, The Netherlands","Jam in the 'Dam"" Melkweg The Max",Amsterdam,,The Netherlands,False,,,{1: 'with Amazing Grace (John Newton) jam'},1,12
03-19-2008-Amsterdam-2-12,03-19-2008,"""Jam in the 'Dam"" Melkweg The Max, Amsterdam, The Netherlands","Jam in the 'Dam"" Melkweg The Max",Amsterdam,,The Netherlands,False,,,"{1: 'with Carole Beausaint Denis on vocals and Joep Berkenbosch on guitar', 2: 'with Jon Gutwillig on guitar'}",2,12
04-01-2008-Charlotte-3-15,04-01-2008,"Amos' Southend, Charlotte, NC, USA",Amos' Southend,Charlotte,NC,USA,False,EOTO,,{1: 'with Jason Hann on percussion'},3,15
